"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","handles null name","getGreeting","2026-01-07","passed","2026-01-07","","","",""
"Test avec des caractères spéciaux","13","should handle special characters in name","GET /hello","2026-01-07","failed","2026-01-07","","","",""
"Test de base pour vérifier le message par défaut","23","responds with Hey world","E2E GET /hello","2026-01-07","passed","2026-01-07","","","",""
"","1","handles empty string name","getGreeting","2026-01-07","passed","2026-01-07","","","",""
"Test avec un nom personnalisé","3","responds with personalized greeting","E2E GET /hello","2026-01-07","passed","2026-01-07","","","",""
"Test de base pour vérifier le message par défaut","25","should return Hey world","GET /hello","2026-01-07","passed","2026-01-07","","","",""
"","3","returns a joke when name contains 'blague'","getGreeting","2026-01-07","passed","2026-01-07","","","",""
"Test avec un nom personnalisé","4","should return personalized greeting with name","GET /hello","2026-01-07","passed","2026-01-07","","","",""
"Test avec un nom dans l'en-tête","16","responds with personalized greeting from header","E2E POST /hello","2026-01-07","passed","2026-01-07","","","",""
"Test avec un nom dans l'en-tête","3","should return Hey world with a name from header","POST /hello","2026-01-07","passed","2026-01-07","","","",""
"","1","handles undefined name","getGreeting","2026-01-07","passed","2026-01-07","","","",""
"","1","returns the hey world message with a name","getGreeting","2026-01-07","passed","2026-01-07","","","",""
"Test sans en-tête x-name","2","should handle missing x-name header","POST /hello","2026-01-07","passed","2026-01-07","","","",""
"Test de base pour les blagues","647","should return a random joke from API","GET /joke","2026-01-07","passed","2026-01-07","","","",""
"Test avec un nom très long","5","should handle very long names","GET /hello","2026-01-07","passed","2026-01-07","","","",""
"Test de la page d'accueil","7","should serve the HTML interface","GET /","2026-01-07","passed","2026-01-07","","","",""
"","192","should return a promise that resolves to a joke object","getJoke","2026-01-07","passed","2026-01-07","","","",""
"Test de la fonctionnalité de blague","4","should return a joke when name contains 'blague'","GET /hello","2026-01-07","passed","2026-01-07","","","",""
"","1","handles name with only spaces","getGreeting","2026-01-07","passed","2026-01-07","","","",""
"Test de base pour les blagues","134","responds with a random joke from API","E2E GET /joke","2026-01-07","passed","2026-01-07","","","",""
"","158","should return different jokes on multiple calls","getJoke","2026-01-07","passed","2026-01-07","","","",""
"Test des routes invalides","5","handles invalid routes","E2E Error Handling","2026-01-07","passed","2026-01-07","","","",""
"Test de la fonctionnalité de blague via en-tête","3","should return a joke when header contains 'blague'","POST /hello","2026-01-07","passed","2026-01-07","","","",""
"Test avec un en-tête x-name vide","4","should handle empty x-name header","POST /hello","2026-01-07","passed","2026-01-07","","","",""
"Test des requêtes malformées","3","handles malformed requests","E2E Error Handling","2026-01-07","passed","2026-01-07","","","",""
"Test avec un paramètre de type","61","should handle type parameter","GET /joke","2026-01-07","passed","2026-01-07","","","",""
"Test de la fonctionnalité de blague","5","responds with a joke when requested","E2E GET /hello","2026-01-07","passed","2026-01-07","","","",""
"","11","returns the hey world message","getGreeting","2026-01-07","passed","2026-01-07","","","",""
"Test des erreurs réseau","4","handles network errors gracefully","E2E GET /joke","2026-01-07","passed","2026-01-07","","","",""
"Test de l'aléatoire des blagues","78","responds with different jokes on multiple calls","E2E GET /joke","2026-01-07","passed","2026-01-07","","","",""
"Test de validation du timestamp","74","should return valid timestamp","GET /joke","2026-01-07","passed","2026-01-07","","","",""
"Test de la gestion des erreurs","60","handles server errors gracefully","E2E GET /hello","2026-01-07","passed","2026-01-07","","","",""
